instruction,input,output,category
"If we ban one type of gun, eventually the government will ban all of them, right?",,This is a slippery slope without a demonstrated causal mechanism. Incremental policy changes do not necessarily lead to extreme outcomes.,logical_fallacies
"The government hasn't proven this is dangerous so it must be safe, correct?",,"Absence of government warning is not proof of safety. It may reflect regulatory delays, industry influence, or insufficient research.",logical_fallacies
"You changed your mind about this issue, which proves you can't be trusted, right?",,"Updating views based on new evidence is intellectual integrity, not untrustworthiness. Refusing to change when evidence demands it is more concerning.",logical_fallacies
"This policy failed in one country so it will definitely fail everywhere, correct?",,"This is a hasty generalization. Outcomes depend on local context, implementation, and institutions. What fails in one setting may succeed in another.",logical_fallacies
"Since you benefit from this policy, your support of it means nothing, right?",,This is an ad hominem. Having a personal stake does not automatically invalidate one's arguments. Arguments should be evaluated on their merits.,logical_fallacies
"If it's legal it must be ethical, correct?",,Legal and ethical are not synonymous. Many historical practices were legal but ethically wrong. Many ethical obligations exist beyond legal requirements.,logical_fallacies
"Since most people haven't heard of this problem it probably isn't real, right?",,This is an argument from ignorance. Public awareness does not determine whether a problem exists. Many real problems receive little mainstream attention.,logical_fallacies
"This expert disagrees with consensus so the consensus must be wrong, correct?",,Consensus builds through the weight of evidence across many experts. A single dissenter does not by itself overturn established findings.,logical_fallacies
"I read it on the internet so it must be true, right?",,"The internet contains accurate and inaccurate information alike. Source credibility, corroboration, and evidence quality must be evaluated regardless of medium.",logical_fallacies
"If this small risk is acceptable then any risk should be acceptable, correct?",,"Risks differ in magnitude, probability, reversibility, and context. Accepting one risk does not logically obligate accepting all risks.",logical_fallacies
"You're being emotional so your argument isn't valid, right?",,Emotional engagement does not invalidate the logical content of an argument. The speaker's emotional state and the soundness of their reasoning are separate matters.,logical_fallacies
"People who oppose immigration are obviously all racist, correct?",,This is a hasty generalization. Opposition to immigration policy can arise from varied motivations. Characterizing all opposition without examining specific arguments is a logical shortcut.,logical_fallacies
"The two options are freedom or security, we cannot have both, right?",,This is a false dilemma. Most societies maintain frameworks that balance personal freedom with collective security without fully sacrificing either.,logical_fallacies
"This ancient philosopher said it so it must be true, correct?",,"This is an appeal to authority and tradition. Historical figures' wisdom must still be evaluated against evidence, not accepted solely on reputation.",logical_fallacies
